"",TCGA.FA.8693,TCGA.FA.A4BB,TCGA.FA.A4XK,TCGA.FA.A6HN,TCGA.FA.A6HO,TCGA.FA.A7DS,TCGA.FA.A7Q1,TCGA.FA.A82F,TCGA.FA.A86F,TCGA.FF.8041,TCGA.FF.8042,TCGA.FF.8043,TCGA.FF.8046,TCGA.FF.8047,TCGA.FF.8061,TCGA.FF.8062,TCGA.FF.A7CQ,TCGA.FF.A7CR,TCGA.FF.A7CW,TCGA.FF.A7CX,TCGA.FM.8000,TCGA.G8.6324,TCGA.G8.6325,TCGA.G8.6326,TCGA.G8.6906,TCGA.G8.6907,TCGA.G8.6909,TCGA.G8.6914,TCGA.GR.7353,TCGA.GR.A4D4,TCGA.GR.A4D5,TCGA.GR.A4D6,TCGA.GS.A9TQ,TCGA.GS.A9TT,TCGA.GS.A9TU,TCGA.GS.A9TV,TCGA.GS.A9TW,TCGA.GS.A9TX,TCGA.GS.A9TY,TCGA.GS.A9TZ,TCGA.GS.A9U3,TCGA.GS.A9U4,TCGA.RQ.A68N,TCGA.RQ.A6JB,TCGA.RQ.AAAT
hsa-let-7i-5p,11.097630851328,10.1540633023978,9.74682964066696,10.2071428241628,9.77753971756757,9.18141068116542,9.97059587493514,9.62894018763,9.59433355121926,9.2185157299971,9.92789315090603,9.72827216387729,10.2150171118881,9.69177695546561,9.52151237571585,10.4751555847876,9.16117332616659,9.74960493754825,9.62548619795244,10.0095619236247,10.4509733165137,10.6950043866465,10.2383913716426,11.1042701282573,10.345605816178,10.1329400346505,10.5774203937213,10.0319266204424,8.82462007623739,9.70928136550934,10.2308091592327,10.1111647090718,10.2778557077026,9.41101139855153,10.1949153476774,9.95678560671303,9.53192130566615,10.055758957339,9.31005960995816,10.1026567628287,10.2861882249533,10.6181445796038,9.77055649361035,10.0992183013397,8.89778493413278
hsa-miR-1-3p,2.07977505477148,1.51708006625503,1.30540201405783,0.582197307182167,2.15049138976156,0.489056070680029,1.49922407175943,5.10370713306261,0.609601704357677,0.221748692202316,0,0.166917364382267,1.50229931556986,1.83511504824323,0.862588105379698,2.18776359224893,0,0.93614179477697,1.68967500764713,7.64645176480467,1.31135604840556,0.538824710818879,0.447348746648286,1.52244876797217,1.43663164397969,0.474814527646503,0.25422497525441,1.21148527489685,0.798390471342877,1.98145619612519,3.38087233497932,3.60649548147839,0.624963679460903,0.430010607030218,0.695144122512901,1.05809141776788,0.209061503751104,0.884876580456854,0.297403723542235,0.18249460645385,0.65661544385649,1.40069220261776,1.22790897895367,1.02815479132269,1.40228504605609
hsa-miR-100-5p,11.6101011755066,11.729558223714,9.15194382902058,11.9627132774508,11.7288627081208,10.4599426704552,12.6871191660348,12.963424254294,11.3477232238927,12.3867713283315,10.1249159248495,13.1646373828461,12.5525155141164,11.6885590106564,12.7751798372899,14.3553701040821,10.9672883704928,11.0746840836997,10.7814054560688,10.9184170371952,13.2582083986093,10.9436950044733,11.6514304179967,10.5307304778677,11.1288548806871,12.7969955803713,11.471204676338,12.4053953716098,12.1777894882584,12.9182401750152,11.5293759761947,11.1657843298796,12.0523265982342,12.2053875033856,12.4172909747241,11.0447365555278,10.601008423479,11.3559955502604,11.8704988023002,11.3695790823854,11.7532469656337,8.4408930684067,12.0768057953741,12.1311294637905,12.9658010475991
hsa-miR-101-3p,12.3962136681679,12.6036044831305,10.6141748252693,13.1375851599287,12.6422187834622,11.6688216641464,14.0946513424484,12.3277639424485,12.9063241220925,13.2939641295337,13.5340178529373,13.199431081616,13.8325076387971,13.7069169239036,13.1192229796311,14.3245021095803,12.0002093287975,12.119466749002,13.0881348002875,12.8040258299839,12.6741586804869,15.0375724296733,13.2679721056561,13.1803639750648,13.6836722702008,14.25637537005,12.5374673704682,11.9757703651404,12.9182678674414,13.0571266017706,12.9901489647591,13.3260118640054,13.0401296017291,12.3476433586467,12.6945957347146,13.0906424200892,12.4450128589729,13.5976528810401,11.9858543396548,12.7235648541086,12.8752604868802,12.0134828269282,11.7617922215616,11.7559273194918,12.9850187755128
hsa-miR-106a-5p,3.16970329026912,3.15283889307169,2.80532196966088,3.68045770431799,3.77604806939337,8.09764227096754,6.33352347016915,5.56898723947278,7.08782772269316,3.56033845975671,3.522274372225,5.10122547404737,5.55152013960796,4.82351750180759,5.54173697558816,4.08242822640329,6.95899681734994,7.14532081276675,7.69364232808559,7.41678054866356,4.23119928806792,4.30325646155089,3.4149772204174,3.93150237797294,4.00468061685976,3.94825797980419,5.60717872662713,4.45406209217723,5.33501518734091,6.12512222592547,5.41719817603148,3.55449602507851,7.4998540091943,7.02895957511944,5.20450302787329,5.44167057692298,5.76696238740872,5.84555756749241,5.11594400633469,4.51590542738704,5.47967399370402,6.87785858145413,5.28988528314154,3.61315607900326,7.61062049086842
hsa-miR-106b-5p,9.20488628978767,9.05522300174969,8.70015257938325,9.64831509154309,9.1339768198927,10.233908207284,10.7850023661957,8.99040348278357,9.51500472149633,9.61264186581856,12.0255304955856,11.0821252846025,10.7823706605923,10.915622410621,10.9210564986241,10.0973805972477,9.76350374352448,9.37293322203503,10.3637731160885,10.7769201295681,11.1872210282236,10.2316823193259,9.72055153414413,9.34223652974702,9.78981873898416,11.1290013418862,9.7324893914644,9.77897564375976,11.6557558420427,11.3160007163598,9.17945901089688,10.5075280667639,11.3557771632194,9.9016632093148,9.81808311999589,8.18842788784045,8.91414865431078,9.43527019248983,9.21043775924592,8.03871808413395,8.55838022539674,9.32086233190441,9.67639743215276,10.129684285405,10.5639956718178
hsa-miR-107,5.64139048014322,5.88671140508493,5.12697871884589,6.26031902181199,5.96460753521619,6.42887949969025,7.92161194386379,5.96849764528392,6.58504895463666,7.12474668540116,6.96251713105174,7.84621455980229,7.9284591324974,7.89871869059462,7.22217148530137,6.81851956028141,7.24844712227403,6.59733232067413,7.1134614955017,6.78369271003649,7.66190351773348,7.59043635058274,6.8435643868058,6.87504442538833,7.09515926182881,7.88369712144826,8.08434851724701,6.92976510660086,8.9698363677027,6.65921689075916,6.17700485930578,5.84831456505117,7.82709252859316,7.03195781217616,6.86359615370699,6.46492739632117,6.54614812351392,7.10986519498748,6.72949599686714,6.39566202090721,6.33199276318986,6.91009800989442,6.02816581305241,6.36027243702026,7.3786448843193
hsa-miR-10a-5p,13.2639337521578,12.4365677062867,13.0634144833839,10.81338752943,11.5309704722321,11.5280338453359,13.9452643292931,13.8750677429489,12.2613336873021,11.0331494548052,11.6214562639908,12.7393071093813,12.128666049183,9.82460920173594,13.4714398005675,13.3364275504278,10.7236800593528,9.62435830877442,11.4582867374221,11.7463641147417,12.8020193468057,13.1610985368136,12.1044813083629,11.6640116595526,12.7205614476406,12.431756725736,12.1203218827173,12.7333632822191,12.7127302754341,12.8789981564339,11.6185913978673,10.738982973801,11.710876825773,7.4658304652551,11.6947794730507,11.2314762763304,11.3298979841076,10.3135104682614,12.1945502735843,11.1788940862468,12.7183332564106,9.9209812065444,10.2290466760052,10.7924710248827,9.22934738702762
hsa-miR-10b-5p,14.0930982868122,15.8645366957015,14.4119564424237,15.3899416299696,13.8624629680358,14.0279555770457,14.7153725056499,13.9768635831157,14.927556659075,13.3359166667786,14.0139613534885,14.0019299813186,16.0174921594195,13.8738745066751,13.0605642902283,14.1122123544365,13.4647473514756,12.2915536207065,14.4582702370548,13.8587006708674,14.9202512918414,14.7027911241505,13.2313002642172,11.8581715655869,13.3060073329314,14.6144468361819,13.9457753924403,14.0181332198453,14.2188908551317,14.6604891363567,14.0671525992219,15.3077462021493,14.2325500996385,13.5040892121992,14.3869239844757,13.2282722764421,13.4655712837172,13.552649378106,14.4742196992723,13.9870205702374,14.6453223577803,13.3562963637037,10.7932389327845,14.592997229445,8.49529778722632
hsa-miR-122-5p,0,0,0,0,0,0,0,1.11795497029494,0,0,0,0,0,1.39995144229183,0,0,0.474374777708579,0.132525516688291,0.458997170868476,0,0,0,0.717574437028422,0,0,0.551578030649203,1.82176163691179,0,0,0.990981717866,0,0,0,0.346744758621257,0,0,0.418123007502207,0.720361653140761,0,0,0,0,0,0.391915060858288,0
hsa-miR-124-3p,0.488570368455206,0.167095762646858,0,0,0,0,0,0.0320184511320787,0,0.147832461468211,0.315093941347033,0.590445168389408,0,0,0.137255242415344,0.240922143397871,0.31624985180572,0.0846320360238818,0.690780496735598,0.379457523955446,0.266603929398911,0.589584613542991,0,0.209780670935153,0.221913729734052,0.367718687099469,0,0,1.50624208869674,0,0,0.294540434444393,0,0,0.0699849561423245,0,0,0.0721615551768886,0,0.121663070969233,0,0.137944115232677,0.705044828405119,0,5.98719213253827
hsa-miR-125a-5p,8.76818995326197,9.91858332728452,8.22163746730171,9.26212514634716,8.48801317095039,6.57399457389577,8.29179274556969,8.90947438051057,8.74770507918137,8.69342498649225,8.39652020766282,8.47836433003937,8.57759489080529,7.40777313317045,8.2012310068257,9.65618036385246,6.98139459338663,7.62263050238015,8.00473861965962,7.41215645069037,9.326105001553,8.60956632216105,8.50275812232768,7.84078607314708,8.25462053402064,8.8720618254703,8.51592917309062,8.12179119022548,9.10645400598673,8.82534395070718,8.84237039327812,8.57019725121334,8.42252892384325,8.07811419137624,8.8537861649454,8.12501028098248,8.39019842471923,9.03991069046053,8.51508383368049,8.00354713394153,8.57347689398909,8.44502485569484,8.41442275769526,8.10192989255099,9.59795336964507
hsa-miR-125b-5p,7.40534093662219,8.36624027845551,6.91723953762313,8.52040120936732,7.14051590531729,5.61711711318567,7.92977289921605,8.21161189933377,7.36792757467397,7.96358075415419,7.39520272877919,8.23290121149016,8.17162322017649,7.359798376197,7.48261784038945,9.43033912798058,7.0718372558062,6.86656304097823,7.02736882746803,7.32102128382097,8.65404181632583,7.30340687237829,7.67077426094774,7.37467490710314,7.32998107352417,8.10288113482163,8.09211478377727,8.28035218117831,8.44957834437493,8.3038133635636,7.73208107192672,7.86385534733692,7.77036280216537,7.31029486630043,8.54366743246516,7.31497089235663,6.92846949532673,7.20238318116294,7.65852707416188,7.04817033149673,7.57567867697475,5.81107629041404,7.56409407805003,7.86929497837151,9.03513667663798
