miRNA,cand.ceRNA,loc.start,loc.end,numOfseg
hsa-miR-21-5p,CCL20 JAG1,18.9559973434752,19.2489914148491,11
hsa-miR-21-5p,NFIB TIAM1,18.5045106394556,18.9180882616077,15
hsa-miR-21-5p,PIK3R1 TIAM1,18.9180882616077,19.1170706987984,9
hsa-miR-221-3p,SMARCA5 ZEB2,7.76742235431861,8.49865799972789,11
hsa-miR-27a-3p,ACVR1 NFE2L2,9.29926099774918,9.63707068298596,12
hsa-miR-27a-3p,ACVR1 NR5A2,9.35174881153291,9.72634428576382,12
hsa-miR-27a-3p,ACVR1 VEGFC,9.42151259997362,9.72634428576382,9
hsa-miR-27a-3p,FBXW7 NFE2L2,9.40281437036415,9.87903974102175,13
hsa-miR-29a-3p,RND3 VEGFA,13.3918525199886,13.7264262221932,7
hsa-miR-29b-3p,FOS HMGA2,10.1775019730658,10.7096533293303,9
hsa-miR-29b-3p,PIK3R1 PPM1D,9.64996236768333,10.0653905354885,10
hsa-miR-30a-5p,ATP2A2 SEC23A,12.209331716147,12.6718635626879,15
hsa-miR-30a-5p,CLOCK MBNL2,12.1340144771575,12.6718635626879,16
hsa-miR-30a-5p,CLOCK SEC23A,12.0585587971676,12.7498660378024,19
hsa-miR-30c-5p,ACVR1 CCNT2,8.38477591296517,9.32443873703409,13
hsa-miR-30e-5p,SEC23A SMARCA5,13.7967040545592,14.463064225273,17
hsa-miR-30e-5p,SEC23A WWP1,13.2638240758716,14.5293560586719,28
hsa-miR-34a-5p,ACSL1 E2F3,6.28945275083923,7.0614458624773,8
hsa-miR-34a-5p,CLOCK E2F3,6.28945275083923,7.0614458624773,8
