"",TCGA.FA.8693,TCGA.FA.A4BB,TCGA.FA.A4XK,TCGA.FA.A6HN,TCGA.FA.A6HO,TCGA.FA.A7DS,TCGA.FA.A7Q1,TCGA.FA.A82F,TCGA.FA.A86F,TCGA.FF.8041,TCGA.FF.8042,TCGA.FF.8043,TCGA.FF.8046,TCGA.FF.8047,TCGA.FF.8061,TCGA.FF.8062,TCGA.FF.A7CQ,TCGA.FF.A7CR,TCGA.FF.A7CW,TCGA.FF.A7CX,TCGA.FM.8000,TCGA.G8.6324,TCGA.G8.6325,TCGA.G8.6326,TCGA.G8.6906,TCGA.G8.6907,TCGA.G8.6909,TCGA.G8.6914,TCGA.GR.7353,TCGA.GR.A4D4,TCGA.GR.A4D5,TCGA.GR.A4D6,TCGA.GS.A9TQ,TCGA.GS.A9TT,TCGA.GS.A9TU,TCGA.GS.A9TV,TCGA.GS.A9TW,TCGA.GS.A9TX,TCGA.GS.A9TY,TCGA.GS.A9TZ,TCGA.GS.A9U3,TCGA.GS.A9U4,TCGA.RQ.A68N,TCGA.RQ.A6JB,TCGA.RQ.AAAT
ABCA1,-0.480262709861249,0.0826354983479194,-0.252346827016024,0.0954450664789447,0.204148207135062,-0.308377774809583,-0.311904257864244,-0.0151166808894236,-0.423513391692675,-0.407183182995325,-0.37160353145002,-0.639625618740782,-0.0219849822600136,-0.526227542617344,-0.397844014915905,-0.512706608720721,0.295635096348205,0.535526101580031,-0.504718503946021,-0.301469520868282,-0.590386647925169,-0.574715494311979,-0.0579676024082228,0.021471543413766,-0.401361302587473,-0.282854567404263,-0.332135786345398,-0.111755807390021,-0.614137412456486,0.458086963913181,0.23876065749554,-0.227430814562494,0.210160437282703,-0.0743454534480887,0.123073076004083,0.364409588519509,0.315998031937974,0.291351505045916,-0.484202096183261,0.445666037284383,0.13189690760113,0.305034472501524,-0.0369133063125064,-0.0067598072503583,-0.421142556444033
ACSL1,0.585712721964492,0.643497471023321,0.26325776890572,0.517235063776701,0.61644409017718,0.867534468521843,0.435967626912187,0.598013791345277,0.38710177867935,0.368870980242506,0.526709028161746,0.572839131307364,-0.0129392030999366,-0.214906900009146,0.480673537554204,0.313708397252096,0.888972786292921,0.955814752041871,0.636141500682775,0.472208347027869,0.61267225980036,0.616611710137115,1.05558536487212,1.18843578237096,0.534858895181232,-0.0892887096182558,0.667389077260908,0.587034109512438,-0.140102615779489,0.248624188075516,0.637283424336526,-0.0920704985225901,0.59032835101084,0.499443645439022,0.615950058636881,0.794172984411333,0.780321555281592,0.432767576293472,1.0480375821384,0.607595481521111,0.77106904195366,0.98559983790577,0.702866957097051,0.70102716298092,0.643557581355199
ACVR1,-0.0859247805297799,-0.0615003968345368,0.151534565038785,-0.0857986395581288,-0.240914504704703,-0.238096004565096,0.117885895867908,-0.151472237572429,-0.0464762804310645,-0.232755728958584,-0.449512912769676,-0.422077947184691,-0.574771754058971,-0.587722912890551,-0.430984222151557,-0.128474393339589,0.0275287139089677,0.0174345583845023,-0.36341471798351,-0.505966572897708,-0.252539028157318,-0.259046564520603,-0.108227945520148,-0.014372346436884,-0.198014071437589,-0.73369434353264,-0.339067650723886,-0.28147428478563,-0.594508670721937,0.164351294060407,0.0523006837347417,-0.623677400857079,-0.423220611419298,-0.18506629088641,0.0852944200271147,0.0879659344134682,0.1206722942559,0.167603545792071,-0.300588056982514,0.348956698959835,0.102304412648647,0.016647157606768,-0.167868585847249,0.104610033980915,-0.767883545298113
AGO2,-0.670014878429545,-0.177175664422076,-0.219298403490396,-0.450262530768335,0.0137467792858751,0.090079663487135,-0.23463109883259,-0.277743095680598,0.307056651994386,-0.440127997804488,-0.251867350003232,-0.243308733578096,-0.667211048994613,-0.333517991226662,0.0464080546652296,-0.37072393236565,0.186704373308069,-0.10255381893639,-0.255570358173494,-0.0601762763497491,-0.14220122324081,-0.350660376225833,-0.354698225937309,-0.434321560818156,-0.334020180600968,-0.41418787071296,-0.425932664013598,-0.504763426971997,0.152376624215641,-0.257018442167671,-0.290643823394278,-0.519214080114007,0.307155273959566,0.209608480806252,0.0894186919809928,-0.160782378675137,0.062989424186023,0.108326650792668,-0.595915547097088,-0.380661435291031,-0.172995343250177,-0.115723938112992,-0.546070769722792,-0.240874209842451,-0.306142190371075
AKAP12,-1.06107265687454,0.699387969558811,-0.843475341874522,-1.0229789411824,-0.999341856655217,-1.03455357748885,-0.69298896398498,-0.622373498153224,-0.740089323828659,0.534846249613617,-0.75737930822301,0.649943626059122,-0.496417827006385,-0.82014144514714,-0.797457804670111,-1.1043084960934,0.671523228060141,-0.726513691509513,-1.09856481905833,-1.33467009015309,-1.22232254127956,0.541579199660957,-0.979188204098021,-0.199879930373558,-0.462908733530642,-1.09631666986783,-0.99105363949193,0.929513399222505,0.561885880136422,-1.06926292583635,-0.327345208386121,-0.065885400384643,-1.25945284873286,0.21480009963695,-0.519576955338969,-0.572298854024482,0.445711896851391,-1.13997192987316,-1.36190056343963,0.0583718786156375,-0.561555923832101,-0.973504050011397,-0.920083603341796,-0.92285072375981,-0.501683315213985
APP,0.954358491612762,0.80196369881058,1.31042325222041,0.611819337801361,0.695268248910323,0.869725147684595,0.697810198847186,0.9961298710732,0.882957748080152,0.623833058576895,0.772193618891133,0.669908697972575,0.909652358758673,0.30975205325682,0.673271459662979,0.938587733869561,0.678522398012107,0.808522506437669,0.51789237776672,0.931504733848154,0.831899662247845,1.16999282708583,0.923416431476,1.04509823873023,0.875399374145237,0.26799685638112,0.610996239442262,0.878963870920779,0.917129132063073,0.958818410683094,1.20095375053151,0.430788990778772,0.697248294773997,0.65423601213267,0.7764028304234,0.998122617503387,1.11159248777123,0.639858751970506,0.682633049686513,0.800682777416058,0.918836741667572,0.971778030015237,0.884169605573525,1.09151055453262,0.872000756750652
ARID1A,0.114949504313651,0.295411750000075,0.567264089253572,0.815994948966084,0.864107753853883,0.771904310699055,0.807134211290441,0.594048012612727,0.725423923327351,0.478376816141047,0.519819372238626,0.682332805724151,0.338750930034428,0.417441157394703,0.518838488342343,0.531320473522665,0.856729053329796,0.782373476734501,0.754677916720464,0.842504319662737,0.593031186038157,0.598706039164061,0.177588857456013,0.496931031819265,0.54332358476814,0.654187765353559,0.406879754363771,0.466302807100113,0.576926282904305,0.838159076541495,0.665289968033494,0.663644504579491,0.7534054944099,0.990190912253772,0.832829389692409,0.813507348072239,0.755369942551017,0.936651476466918,0.617762555742231,0.691712823794351,0.804853913279818,0.570690834387283,0.566174899006748,0.660350831095313,0.603559964379405
ARNTL,-0.6310768668363,-0.191578712079554,-0.934116401954386,0.295613573699084,-0.546584770669003,-0.54416780621521,-0.192158722785143,-0.474457443557547,-0.273672049632865,-0.429931980588674,-0.298202183460798,-0.429352887010048,-1.29864518584592,-0.870897151937986,-0.395551046699631,-0.359759964459996,-0.147408783005481,-0.0605785211787031,-0.369979497064686,-0.310364052003143,-0.0184652112405615,-0.368041634977191,-0.284864907206718,-0.441066868997965,-0.707460751059157,-0.529361881034132,-0.754420460563295,-0.925459300879323,-0.45937939954235,-0.661730095054902,-0.459807688557366,-0.400892779373858,-1.13040139388543,-1.19112542821598,-0.375394498149346,-0.0631460344224815,-0.28664426129814,-0.124605557844489,-0.62414667099335,-0.197391516171469,-0.314640031711524,0.0468259358653551,-0.72897920330055,-0.396574432736026,-1.02013831163491
ATP2A2,0.182284229910941,0.756766990829701,0.72606745914055,0.619360003234477,0.685331696914001,0.949294772664835,0.887080004224904,0.711687667400453,0.903835216244813,0.363059925783256,0.297013734063164,0.349202105014064,0.213103995985492,0.515531705514757,0.262020993315761,0.220724744040516,0.850533114745687,0.943441294095638,0.648620159186988,0.693132820961067,0.0568661254927517,0.0388082734966023,0.349051865275009,0.32068234448601,0.169345229325557,0.092414015726048,0.299917339013746,0.26427526854405,0.317603103116782,0.700805148304874,0.806872087334239,0.191448973038204,0.826241175972638,0.964445892356209,0.722953006055681,0.868875435879209,0.824527460451661,0.653115974528244,0.588742139298093,0.787174812766677,0.764350140621339,0.813592902193825,0.711464869702937,0.70695425517757,0.521246200921003
ATXN1,-0.70732575197249,-0.582757766702688,-0.78228358703063,-0.502065290462245,-0.298790856034864,-0.821529104665876,-0.834035694419112,-0.910588382469924,-0.326230467552103,-0.882671856754691,-0.795581274263225,-0.615977577328248,-1.01247668508251,-0.53182096847401,-0.712416159294999,-0.767301467187496,-0.262962908022434,-0.293224179697472,-0.478350643340789,-0.826806119945604,-0.364664867416851,0.270485787617084,-0.689204250131605,-0.195070622609867,-0.878967274246414,-1.10952750623255,-0.478335162081408,-0.710191461229494,-0.827702042252404,0.00522903817648091,-0.446560794685134,-0.783871423101709,-0.799703739451241,-1.15754299238004,-0.00660386560394917,-0.0603667984592573,-0.512016130223299,0.0191689438259078,0.0409555190326404,-0.260159312624847,-0.309384728850853,-0.49458485392371,-0.759172576616566,-0.39497909747797,-1.16585459213326
